,event_id,game_session,timestamp,event_data,installation_id,event_count,event_code,game_time,title,type,world
3809,14de4c5d,8043825259dc7ddd,2019-08-06T20:36:54.289Z,"{""distance"":9,""target_distances"":[4,5,6,7,8,9,10],""correct"":true,""round"":2,""event_count"":71,""game_time"":77194,""event_code"":4100}",0006a69f,71,4100,77194,Air Show,Game,TREETOPCITY
3842,14de4c5d,8043825259dc7ddd,2019-08-06T20:37:27.005Z,"{""distance"":10,""target_distances"":[1,2,3],""correct"":false,""round"":3,""event_count"":104,""game_time"":109896,""event_code"":4100}",0006a69f,104,4100,109896,Air Show,Game,TREETOPCITY
3850,14de4c5d,8043825259dc7ddd,2019-08-06T20:37:52.614Z,"{""distance"":4,""target_distances"":[1,2,3],""correct"":false,""round"":3,""event_count"":112,""game_time"":135531,""event_code"":4100}",0006a69f,112,4100,135531,Air Show,Game,TREETOPCITY
4137,17113b36,a9ef3ecb3d1acc6a,2019-08-06T20:50:12.115Z,"{""correct"":true,""caterpillars"":[4,8,5],""event_count"":14,""game_time"":13050,""event_code"":4110}",0006a69f,14,4110,13050,Bird Measurer (Assessment),Assessment,TREETOPCITY
4153,070a5291,a9ef3ecb3d1acc6a,2019-08-06T20:50:33.283Z,"{""correct"":true,""hats"":[4,8,5],""event_count"":30,""game_time"":34209,""event_code"":4100}",0006a69f,30,4100,34209,Bird Measurer (Assessment),Assessment,TREETOPCITY
6900,392e14df,197a373a77101924,2019-09-14T15:35:54.361Z,"{""buckets"":[0,0,0],""correct"":true,""buckets_placed"":[3,1,2],""duration"":12635,""event_count"":20,""game_time"":12635,""event_code"":4100}",0006c192,20,4100,12635,Cauldron Filler (Assessment),Assessment,MAGMAPEAK
7279,25fa8af4,b2297d292892745a,2019-10-01T00:53:30.849Z,"{""correct"":false,""stumps"":[0,0,0],""event_count"":43,""game_time"":32388,""event_code"":4100}",0006c192,43,4100,32388,Mushroom Sorter (Assessment),Assessment,TREETOPCITY
7292,25fa8af4,b2297d292892745a,2019-10-01T00:53:36.596Z,"{""correct"":false,""stumps"":[0,0,0],""event_count"":56,""game_time"":38139,""event_code"":4100}",0006c192,56,4100,38139,Mushroom Sorter (Assessment),Assessment,TREETOPCITY
7312,25fa8af4,b2297d292892745a,2019-10-01T00:53:53.430Z,"{""correct"":false,""stumps"":[2,5,3],""event_count"":76,""game_time"":54974,""event_code"":4100}",0006c192,76,4100,54974,Mushroom Sorter (Assessment),Assessment,TREETOPCITY
7341,25fa8af4,b2297d292892745a,2019-10-01T00:54:18.450Z,"{""correct"":false,""stumps"":[3,5,2],""event_count"":105,""game_time"":79992,""event_code"":4100}",0006c192,105,4100,79992,Mushroom Sorter (Assessment),Assessment,TREETOPCITY
7387,17113b36,957406a905d59afd,2019-10-01T00:59:35.003Z,"{""correct"":false,""caterpillars"":[3,8,5],""event_count"":27,""game_time"":24847,""event_code"":4110}",0006c192,27,4110,24847,Bird Measurer (Assessment),Assessment,TREETOPCITY
7393,17113b36,957406a905d59afd,2019-10-01T00:59:42.289Z,"{""correct"":true,""caterpillars"":[4,8,5],""event_count"":33,""game_time"":32131,""event_code"":4110}",0006c192,33,4110,32131,Bird Measurer (Assessment),Assessment,TREETOPCITY
7414,070a5291,957406a905d59afd,2019-10-01T01:00:04.842Z,"{""correct"":false,""hats"":[5,4,8],""event_count"":54,""game_time"":54682,""event_code"":4100}",0006c192,54,4100,54682,Bird Measurer (Assessment),Assessment,TREETOPCITY
8054,17113b36,ae691ec5ad5652cf,2019-09-22T16:32:43.121Z,"{""correct"":true,""caterpillars"":[4,8,5],""event_count"":14,""game_time"":12599,""event_code"":4110}",00129856,14,4110,12599,Bird Measurer (Assessment),Assessment,TREETOPCITY
8078,070a5291,ae691ec5ad5652cf,2019-09-22T16:33:08.061Z,"{""correct"":true,""hats"":[4,8,5],""event_count"":38,""game_time"":37535,""event_code"":4100}",00129856,38,4100,37535,Bird Measurer (Assessment),Assessment,TREETOPCITY
